set_name,book_id
train-clean-360,83696
train-clean-360,83708
train-clean-360,83706
train-clean-360,1120
train-clean-360,1119
train-clean-360,1129
train-clean-360,282926
train-clean-360,1733
train-clean-360,1732
train-clean-360,1730
train-clean-360,1731
train-clean-360,106369
train-clean-360,106370
train-clean-360,132101
train-clean-360,148550
train-clean-360,124587
train-clean-360,132299
train-clean-360,132300
train-clean-360,132291
train-clean-360,161972
train-clean-360,161975
train-clean-360,155646
train-clean-360,88086
train-clean-360,85640
train-clean-360,85635
train-clean-360,6541
train-clean-360,130516
train-clean-360,130548
train-clean-360,130492
train-clean-360,130549
train-clean-360,71320
train-clean-360,61356
train-clean-360,55202
train-clean-360,141644
train-clean-360,141642
train-clean-360,289453
train-clean-360,126296
train-clean-360,25951
train-clean-360,126319
train-clean-360,126313
train-clean-360,126312
train-clean-360,19361
train-clean-360,125147
train-clean-360,125140
train-clean-360,296465
train-clean-360,291170
train-clean-360,291168
train-clean-360,71401
train-clean-360,71404
train-clean-360,71402
train-clean-360,131735
train-clean-360,57836
train-clean-360,57837
train-clean-360,100044
train-clean-360,100043
train-clean-360,100045
train-clean-360,293963
train-clean-360,293957
train-clean-360,59268
train-clean-360,118119
train-clean-360,118128
train-clean-360,282977
train-clean-360,246932
train-clean-360,110706
train-clean-360,110705
train-clean-360,52087
train-clean-360,52088
train-clean-360,133396
train-clean-360,134981
train-clean-360,134316
train-clean-360,132717
train-clean-360,132718
train-clean-360,281132
train-clean-360,281131
train-clean-360,138631
train-clean-360,138656
train-clean-360,296395
train-clean-360,284428
train-clean-360,271826
train-clean-360,29012
train-clean-360,292604
train-clean-360,76574
train-clean-360,67147
train-clean-360,91098
train-clean-360,87508
train-clean-360,57667
train-clean-360,174953
train-clean-360,174960
train-clean-360,163380
train-clean-360,149890
train-clean-360,163381
train-clean-360,124595
train-clean-360,293663
train-clean-360,157263
train-clean-360,133442
train-clean-360,82458
train-clean-360,17942
train-clean-360,25563
train-clean-360,105405
train-clean-360,104491
train-clean-360,70919
train-clean-360,224746
train-clean-360,64717
train-clean-360,11512
train-clean-360,156757
train-clean-360,149798
train-clean-360,31668
train-clean-360,83616
train-clean-360,4158
train-clean-360,274558
train-clean-360,3961
train-clean-360,130493
train-clean-360,130494
train-clean-360,130495
train-clean-360,121541
train-clean-360,121080
train-clean-360,121079
train-clean-360,39501
train-clean-360,91905
train-clean-360,91906
train-clean-360,91902
train-clean-360,137483
train-clean-360,134636
train-clean-360,149245
train-clean-360,150715
train-clean-360,86039
train-clean-360,86588
train-clean-360,161217
train-clean-360,86040
train-clean-360,26872
train-clean-360,22178
train-clean-360,22179
train-clean-360,142750
train-clean-360,142745
train-clean-360,86777
train-clean-360,85685
train-clean-360,32136
train-clean-360,32137
train-clean-360,32135
train-clean-360,131256
train-clean-360,131276
train-clean-360,131259
train-clean-360,271811
train-clean-360,271817
train-clean-360,271812
train-clean-360,262305
train-clean-360,262291
train-clean-360,276907
train-clean-360,280250
train-clean-360,276908
train-clean-360,26685
train-clean-360,39475
train-clean-360,122876
train-clean-360,123197
train-clean-360,122863
train-clean-360,118112
train-clean-360,76055
train-clean-360,233342
train-clean-360,58025
train-clean-360,58012
train-clean-360,123163
train-clean-360,128310
train-clean-360,128331
train-clean-360,167022
train-clean-360,163518
train-clean-360,167023
train-clean-360,164101
train-clean-360,164100
train-clean-360,103126
train-clean-360,127579
train-clean-360,127595
train-clean-360,127597
train-clean-360,47030
train-clean-360,47032
train-clean-360,19209
train-clean-360,19208
train-clean-360,39840
train-clean-360,186230
train-clean-360,77173
train-clean-360,56222
train-clean-360,58192
train-clean-360,75360
train-clean-360,75362
train-clean-360,88748
train-clean-360,19371
train-clean-360,19373
train-clean-360,145138
train-clean-360,145145
train-clean-360,234100
train-clean-360,234106
train-clean-360,234067
train-clean-360,39910
train-clean-360,97593
train-clean-360,97610
train-clean-360,41911
train-clean-360,4861
train-clean-360,61323
train-clean-360,232057
train-clean-360,126286
train-clean-360,123025
train-clean-360,123033
train-clean-360,13248
train-clean-360,13250
train-clean-360,130127
train-clean-360,13247
train-clean-360,300208
train-clean-360,63885
train-clean-360,300225
train-clean-360,121907
train-clean-360,126796
train-clean-360,121899
train-clean-360,9010
train-clean-360,84357
train-clean-360,64075
train-clean-360,42637
train-clean-360,131295
train-clean-360,131296
train-clean-360,131294
train-clean-360,157480
train-clean-360,157242
train-clean-360,116804
train-clean-360,116805
train-clean-360,131722
train-clean-360,129324
train-clean-360,129317
train-clean-360,140639
train-clean-360,137004
train-clean-360,129388
train-clean-360,291953
train-clean-360,296078
train-clean-360,246948
train-clean-360,39967
train-clean-360,134170
train-clean-360,134176
train-clean-360,134825
train-clean-360,134830
train-clean-360,134804
train-clean-360,169619
train-clean-360,176263
train-clean-360,176256
train-clean-360,128036
train-clean-360,124554
train-clean-360,126600
train-clean-360,126851
train-clean-360,76974
train-clean-360,73712
train-clean-360,76973
train-clean-360,107483
train-clean-360,8592
train-clean-360,140067
train-clean-360,140071
train-clean-360,140072
train-clean-360,135022
train-clean-360,135020
train-clean-360,136054
train-clean-360,70837
train-clean-360,40556
train-clean-360,7943
train-clean-360,7944
train-clean-360,68192
train-clean-360,39648
train-clean-360,68188
train-clean-360,133834
train-clean-360,141174
train-clean-360,129594
train-clean-360,129596
train-clean-360,129597
train-clean-360,12971
train-clean-360,126539
train-clean-360,129974
train-clean-360,1189
train-clean-360,1188
train-clean-360,165428
train-clean-360,74798
train-clean-360,74797
train-clean-360,161102
train-clean-360,161100
train-clean-360,161101
train-clean-360,152224
train-clean-360,142358
train-clean-360,146197
train-clean-360,88007
train-clean-360,83633
train-clean-360,149939
train-clean-360,26982
train-clean-360,26987
train-clean-360,26956
train-clean-360,107621
train-clean-360,287837
train-clean-360,111961
train-clean-360,129587
train-clean-360,123036
train-clean-360,127696
train-clean-360,41166
train-clean-360,41170
train-clean-360,295756
train-clean-360,295759
train-clean-360,295761
train-clean-360,66016
train-clean-360,62850
train-clean-360,62851
train-clean-360,89880
train-clean-360,89882
train-clean-360,38660
train-clean-360,73728
train-clean-360,73729
train-clean-360,161226
train-clean-360,160958
train-clean-360,134792
train-clean-360,171133
train-clean-360,171134
train-clean-360,7894
train-clean-360,7884
train-clean-360,7887
train-clean-360,294114
train-clean-360,294113
train-clean-360,294120
train-clean-360,127936
train-clean-360,119253
train-clean-360,130876
train-clean-360,270777
train-clean-360,295710
train-clean-360,146770
train-clean-360,14358
train-clean-360,174511
train-clean-360,124439
train-clean-360,149880
train-clean-360,149881
train-clean-360,182389
train-clean-360,182402
train-clean-360,182394
train-clean-360,129443
train-clean-360,135580
train-clean-360,73846
train-clean-360,73847
train-clean-360,73848
train-clean-360,73073
train-clean-360,73075
train-clean-360,134728
train-clean-360,129808
train-clean-360,136983
train-clean-360,139355
train-clean-360,139356
train-clean-360,139358
train-clean-360,92930
train-clean-360,92935
train-clean-360,170452
train-clean-360,170453
train-clean-360,100431
train-clean-360,220980
train-clean-360,220979
train-clean-360,48848
train-clean-360,48842
train-clean-360,123215
train-clean-360,121671
train-clean-360,121727
train-clean-360,123216
train-clean-360,284435
train-clean-360,284433
train-clean-360,284434
train-clean-360,138042
train-clean-360,139752
train-clean-360,139753
train-clean-360,139743
train-clean-360,105002
train-clean-360,158816
train-clean-360,107247
train-clean-360,141819
train-clean-360,130728
train-clean-360,130727
train-clean-360,3967
train-clean-360,276732
train-clean-360,110520
train-clean-360,3966
train-clean-360,252342
train-clean-360,102612
train-clean-360,252341
train-clean-360,128136
train-clean-360,128138
train-clean-360,1043
train-clean-360,140222
train-clean-360,140221
train-clean-360,133227
train-clean-360,128660
train-clean-360,129790
train-clean-360,35921
train-clean-360,35926
train-clean-360,137739
train-clean-360,148993
train-clean-360,7793
train-clean-360,67863
train-clean-360,231862
train-clean-360,71420
train-clean-360,67857
train-clean-360,67851
train-clean-360,67858
train-clean-360,294554
train-clean-360,294551
train-clean-360,8927
train-clean-360,14960
train-clean-360,14958
train-clean-360,62347
train-clean-360,68888
train-clean-360,65554
train-clean-360,65534
train-clean-360,156155
train-clean-360,156153
train-clean-360,156154
